,character,line #,line
350,NICKY,350,"Hold it, hold it. Here."
351,ACE (V.O.),351,"Because Nicky enjoyed being a
gangster, and he didn't give a damn
who knew it."
352,JENNIFER,352,"Come on. There we go. Look at that.
Beautiful."
353,ACE (V.O.),353,"I mean, that's what worried me, 'cause
it turns out Nicky was about to be
sent to Vegas."
354,JENNIFER,354,"All right, we're clear."
355,NICKY,355,There's more!
356,JENNIFER,356,I think that's it.
357,NICKY,357,"There's more! There's a couple stuck
in there. I know there's more."
358,JENNIFER,358,"God, I'm telling you, they're out!"
359,NICKY,359,"Come on, damn it. Don't get so
defensive. It could be stuck in your
hair, you know."
360,JENNIFER,360,"Look, there aren't..."
361,JENNIFER,361,There aren't but...
362,NICKY,362,"Oh, there aren't?"
363,NICKY,363,What's that?
364,NICKY,364,Huh? What's that.
365,NICKY,365,"There's no more. Thanks, hon."
366,NICKY (V.O.),366,"I couldn't wait to get my hands on
Vegas. But the bosses didn't send me
out there to have a good time."
367,NICKY (V.O.),367,"They sent me out there to make sure
that nobody fucked with Ace and..."
368,NICKY (V.O.),368,"...nobody interfered with the fuckin'
skim."
369,ACE,369,Hey.
370,JENNIFER,370,"Hey, how you doin'?"
371,NICKY,371,"Hey. Hey, Sammy, how are you?"
372,JENNIFER,372,Wow.
373,NICKY,373,"Boy, look at this place, huh?"
374,JENNIFER,374,Incredible.
375,NICKY,375,All right.
376,ACE,376,Welcome to Vegas.
377,NICKY,377,"Okay, Sammy."
378,ACE,378,"Somethin', huh?"
379,NICKY,379,Yeah.
380,ACE,380,Ginger.
381,NICKY,381,"Holy shit, what've you been doin'
out here?"
382,ACE,382,"Honey, come here."
383,ACE,383,"This is Jennifer and Nick. They're
dear friends of mine."
384,JENNIFER,384,Good to meet you.
385,GINGER,385,"Hi, Jennifer."
386,NICKY,386,Pleasure.
387,NICKY,387,Very nice to meet you.
388,GINGER,388,"Hi, how are you?"
389,NICKY,389,"Okay, Sammy."
390,ACE (V.O.),390,"After we ate, we left Jennifer and
Ginger alone and we took a ride to
talk. And then... he hit me with it."
391,NICKY,391,"What do you think about me movin'
out here?"
392,NICKY,392,"What's the matter? You got a problem
with that?"
393,ACE,393,"No, of course not."
394,NICKY,394,"You mean, I have your permission?"
