,character,line #,line
368,MOTHER'S VOICE,368,"Hi Brenna, it's mom.  Me and your neices
just wanted to call and wish you a
happy birthday.  Crissy made a real cute
card for you, be sure to call her.  Will
you be home for Easter?  Call when you
can.  Love you."
369,ROMIREZ,369,"Three days you've laid there.
It's time you ate."
370,CONOR,370,This can't be.
371,ROMIREZ,371,"You are not dead, boy.  Accept it."
372,CONOR,372,"This is monstrous.  I'll burn in
hell for all eternity."
373,ROMIREZ,373,You'd have to die first.
374,ROMIREZ,374,Aqui.
375,CONOR,375,"What is to become of me?  Am I to
wander the Earth forever like a
ghost?"
376,ROMIREZ,376,You will live.  Survive.
377,CONOR,377,"Then they were right.  I am evil.
This is God's punishment."
378,ROMIREZ,378,"You have done nothing wrong Conor
MacLeod."
379,CONOR,379,Oh my God.  Oh my God I'm lost.
380,CONOR,380,Why does he want to kill me?
381,ROMIREZ,381,"You recall how I spoke of the push
you feel and how I make it less?"
382,CONOR,382,Aye.
383,ROMIREZ,383,"It is always less with my living.
Far or near.  But if I were to die
the push would become stronger
than ever before.  There is power
in this.  And as long as you and I
live, The Knight can never have
it all."
384,CONOR,384,But we cannot be killed.
385,ROMIREZ,385,"There is an imperfection.  For all
your healing, if your head ever
leaves your neck, you are dead.
You can survive anything but steel
against your threat.  Then it is
over.  The end."
386,CONOR,386,How can I stop such a man?
387,ROMIREZ,387,"Hide.  Run to the ends of the Earth
till you learn.  You must learn to
defend yourself.  In this I can help."
388,CONOR,388,Why?
389,ROMIREZ,389,"We are brothers.  And you are a
defense-"
390,(beat),390,-of sorts.
391,MR. NORTH,391,"When your father died I saw to
it that the grounds were kept up."
392,TAUPIN,392,"The money in the estate was
enough to cover your costs?"
393,MR. NORTH,393,"Oh yes, more than enough."
394,MR. NORTH,394,"Most of the furniture was put
into protective storage.  I'll
have some boys come up and clean
the place out for you."
395,MR. NORTH,395,"You're one of William's kids,
huh?"
396,TAUPIN,396,His only kid.
397,MR. NORTH,397,"Sure take after him.  Never seen
a father and son look more alike."
398,TAUPIN,398,We were very close.
399,MR. NORTH,399,The resemblance is amazing.
400,TAUPIN,400,When may I expect the cleaners?
401,MR. NORTH,401,I'll send them right up.
402,MAN,402,"That stuff'll put you away if
you're not careful."
403,BRENNA,403,"There was a Count.  Count Dusan.  He
would invite the local peasants to
his chateau, fill them full of wine,
then slice their bellies so he
could reuse it."
404,(smiles),404,"The symmetry of that somehow always
appealed to me."
405,MAN,405,You're very macabre.
406,BRENNA,406,It's my birthday.
407,MAN,407,Happy birthday.
408,BRENNA,408,Thanks.
409,BRENNA,409,Buy a birthday girl a drink?
410,TAUPIN,410,Lager and lime.
411,KAHN,411,MacLeod.
412,KAHN,412,Spare a chair?
413,TAUPIN,413,Kahn?
414,KAHN,414,"Are you going to offer me a chair
or leave me standing here all night?"
415,TAUPIN,415,Sit.
416,TAUPIN,416,How are you?
417,KAHN,417,Head still secure to the neck.
418,TAUPIN,418,How did you find me?
419,KAHN,419,"How many places this side of the
Atlantic serve lager and lime?"
420,KAHN,420,Old habits die hard.
421,KAHN,421,Waitress!  A round of Nitzhic!
422,(beat),422,"Peasant drool, I know.  But it's the
closest thing they stock to my side
of the fence."
423,TAUPIN,423,What are you doing here?
424,KAHN,424,"It is the gathering, my friend.  The
settling of old scores."
425,TAUPIN,425,"And have you something to settle
with me?"
426,"KAHN
(smiles)",426,"Not tonight.  Tonight I have a drink
with an old friend."
427,TAUPIN,427,"It's good to see you, Kahn."
428,KAHN,428,"Come, toast with me the past."
429,KAHN,429,"To old conquests, old loves, and to a
time when we cared about either."
430,KAHN,430,Waitress!
431,KAHN,431,"I'll never forget the look on that
Papal commander's face when his
""heretic stronghold"" turned out to
be a rock full of whores climbing
all over Neuvich."
432,TAUPIN,432,"Neuvich, the clown of the crusades."
433,KAHN,433,"But then rides up Pope Pius who
calmly brushes the dust from his
papal cross, climbs off his papal
horse, draws his papal sword and
asks just what the hell is going
on.  And what did Neuvich, dear
dear drunken Neuvich do?"
434,TAUPIN,434,Offered the Pope one of his whores.
435,TAUPIN,435,"Had a great swing with his blade.
For a Pope."
436,"KAHN
(sighs)",436,"Good times then.  A man could
stretch his legs without bring-
ing half the world down around
his ears.  Not like now."
437,TAUPIN,437,He found us even there.
438,KAHN,438,He always did.
439,TAUPIN,439,I haven't drunk this much since-
440,KAHN,440,-Since you last saw me.
441,KAHN,441,Come on.
442,KAHN,442,"I love zoos.  Ever since I was
a kid."
443,TAUPIN,443,You were never a kid.
444,KAHN,444,I knew his great-grandfather.
445,TAUPIN,445,You're insane.
446,KAHN,446,"No, seriously.  We used to shoot pool
together in Rangoon."
447,TAUPIN,447,"How do you do it, Kahn?  How do you
live so full of life for so long?"
448,KAHN,448,"Tasting and enjoying life is the
only thing of value we have.  All
else is just marking time."
449,(beat),449,You're marking time.
450,TAUPIN,450,I've had a few more concerns.
451,KAHN,451,"The pressure only comes when you
let the taste slip into your mouth."
452,TAUPIN,452,You're wrong.
453,KAHN,453,"You don't run as hard, MacLeod.
You just don't run as hard anymore."
454,AUCTIONEER,454,"I apoligize for the lateness of the
hour, but I'm sure you will all agree
the quality of this year's collection
is well worth the time."
455,AUCTIONEER,455,"For this fine example of medieval
religious art, let us open the bid
at 4,000 dollars."
456,AUCTIONEER,456,"10,500 once, 10,500 twice..."
457,AUCTIONEER,457,"11,000.  A bid at 11,000."
458,BRENNA,458,"No, I-"
459,BRENNA,459,"Mr. Taupin?  I have to talk to
you."
460,TAUPIN,460,Finished?
461,BRENNA,461,He tried to kill me last night.
462,TAUPIN,462,Where?
463,BRENNA,463,Dupont Circle.
464,BRENNA,464,Who is he?
465,TAUPIN,465,At the moment?  Carl Smith.
466,BRENNA,466,And you?
467,BRENNA,467,What will you do now?
468,TAUPIN,468,"You needn't worry Miss Cartwright.
I've been at this a very long time."
469,BRENNA,469,"He called you ""MacLeod""."
470,TAUPIN,470,Not your concern.
471,BRENNA,471,"I left a man dead in
Felton.  But you don't
really care, do you?"
472,TAUPIN,472,That bothers you?
473,BRENNA,473,He was innocent.
474,TAUPIN,474,"He's dead.  Whatever I may
or may not feel means
exceedingly little to him
now."
475,BRENNA,475,What about me?
476,TAUPIN,476,You?
477,BRENNA,477,"I'm a witness to a murder.  That
seems to put me pretty high
on your friend's chop list."
478,TAUPIN,478,"Have you gone to the
police?"
479,BRENNA,479,No.
480,TAUPIN,480,"Why not?  I'm sure they'd
love to hear your story."
481,BRENNA,481,I'd rather hear yours.
482,"TAUPIN
(beat)",482,You are being foolish.
483,BRENNA,483,"I'm a historian, Mr. Taupin.
Only once in a lifetime do you
stare history in the face."
484,TAUPIN,484,Go home.
