,character,line #,line
136,THREEPIO,136,"I don't think so, sir. I'm only a
droid and not very knowledgeable
about such things. Not on this planet,
anyways. As a matter of fact, I'm
not even sure which planet I'm on."
137,LUKE,137,"Well, if there's a bright center to
the universe, you're on the planet
that it's farthest from."
138,THREEPIO,138,"I see, sir."
139,LUKE,139,"Uh, you can call me Luke."
140,THREEPIO,140,"I see, sir Luke."
141,LUKE,141,Just Luke.
142,THREEPIO,142,"And I am See-Threepio, human-cyborg
relations, and this is my counterpart,
Artoo-Detoo."
143,LUKE,143,Hello.
144,LUKE,144,"You got a lot of carbon scoring here.
It looks like you boys have seen a
lot of action."
145,THREEPIO,145,"With all we've been through, sometimes
I'm amazed we're in as good condition
as we are, what with the Rebellion
and all."
146,LUKE,146,"You know of the Rebellion against
the Empire?"
147,THREEPIO,147,"That's how we came to be in your
service, if you take my meaning,
sir."
148,LUKE,148,Have you been in many battles?
149,THREEPIO,149,"Several, I think. Actually, there's
not much to tell. I'm not much more
than an interpreter, and not very
good at telling stories. Well, not
at making them interesting, anyways."
150,LUKE,150,"Well, my little friend, you've got
something jammed in here real good.
Were you on a cruiser or..."
151,LEIA,151,"Help me, Obi-Wan Kenobi. You're my
only hope."
152,LUKE,152,What's this?
153,THREEPIO,153,"What is what?!? He asked you a
question..."
154,THREEPIO,154,What is that?
155,LEIA,155,"Help me, Obi-Wan Kenobi. You're my
only hope. Help me, Obi-Wan Kenobi.
You're my only hope."
156,THREEPIO,156,"Oh, he says it's nothing, sir. Merely
a malfunction. Old data. Pay it no
mind."
157,LUKE,157,Who is she? She's beautiful.
158,THREEPIO,158,"I'm afraid I'm not quite sure, sir."
159,LEIA,159,"Help me, Obi-Wan Kenobi..."
160,THREEPIO,160,"I think she was a passenger on our
last voyage. A person of some
importance, sir -- I believe. Our
captain was attached to..."
161,LUKE,161,Is there more to this recording?
162,THREEPIO,162,"Behave yourself, Artoo. You're going
to get us in trouble. It's all right,
you can trust him. He's our new
master."
163,THREEPIO,163,"He says he's the property of Obi-Wan
Kenobi, a resident of these parts.
And it's a private message for him.
Quite frankly, sir I don't know what
he's talking about. Our last master
was Captain Antilles, but with what
we've been through, this little R2
unit has become a bit eccentric."
164,LUKE,164,"Obi-Wan Kenobi? I wonder if he means
old Ben Kenobi?"
165,THREEPIO,165,"I beg your pardon, sir, but do you
know what he's talking about?"
166,LUKE,166,"Well, I don't know anyone named Obi-
Wan, but old Ben lives out beyond
the dune sea. He's kind of a strange
old hermit."
167,LUKE,167,"I wonder who she is. It sounds like
she's in trouble. I'd better play
back the whole thing."
168,THREEPIO,168,"He says the restraining bolt has
short circuited his recording system.
He suggests that if you remove the
bolt, he might be able to play back
the entire recording."
169,LUKE,169,"H'm? Oh, yeah, well, I guess you're
too small to run away on me if I
take this off! Okay."
170,LUKE,170,There you go.
171,LUKE,171,"Well, wait a minute. Where'd she go?
Bring her back! Play back the entire
message."
172,THREEPIO,172,"What message? The one you're carrying
inside your rusty innards!"
173,AUNT BERU,173,Luke? Luke! Come to dinner!
174,LUKE,174,"All right, I'll be right there, Aunt
Beru."
175,THREEPIO,175,"I'm sorry, sir, but he appears to
have picked up a slight flutter."
176,LUKE,176,"Well, see what you can do with him.
I'll be right back."
177,THREEPIO,177,"Just you reconsider playing that
message for him."
178,THREEPIO,178,"No, I don't think he likes you at
all."
179,THREEPIO,179,"No, I don't like you either."
180,LUKE,180,"You know, I think that R2 unit we
bought might have been stolen."
181,OWEN,181,What makes you think that?
182,LUKE,182,"Well, I stumbled across a recording
while I was cleaning him. He says he
belongs to someone called Obi-Wan
Kenobi."
183,LUKE,183,"I thought he might have meant old
Ben. Do you know what he's talking
about? Well, I wonder if he's related
to Ben."
184,OWEN,184,"That old man's just a crazy old
wizard. Tomorrow I want you to take
that R2 unit into Anchorhead and
have its memory flushed. That'll be
the end of it. It belongs to us now."
185,LUKE,185,"But what if this Obi-Wan comes looking
for him?"
186,OWEN,186,"He won't, I don't think he exists
any more. He died about the same
time as your father."
187,LUKE,187,He knew my father?
188,OWEN,188,"I told you to forget it. Your only
concern is to prepare the new droids
for tomorrow. In the morning I want
them on the south ridge working out
those condensers."
189,LUKE,189,"Yes, sir. I think those new droids
are going to work out fine. In fact,
I, uh, was also thinking about our
agreement about my staying on another
season. And if these new droids do
work out, I want to transmit my
application to the Academy this year."
190,OWEN,190,"You mean the next semester before
harvest?"
191,LUKE,191,"Sure, there're more than enough
droids."
192,OWEN,192,"Harvest is when I need you the most.
Only one more season. This year we'll
make enough on the harvest so I'll
be able to hire some more hands. And
then you can go to the Academy next
year."
193,OWEN,193,"You must understand I need you here,
Luke."
194,LUKE,194,But it's a whole 'nother year.
195,OWEN,195,"Look, it's only one more season."
196,LUKE,196,"Yeah, that's what you said last year
when Biggs and Tank left."
197,AUNT BERU,197,Where are you going?
198,LUKE,198,"It looks like I'm going nowhere. I
have to finish cleaning those droids."
199,AUNT BERU,199,"Owen, he can't stay here forever.
Most of his friends have gone. It
means so much to him."
200,OWEN,200,"I'll make it up to him next year. I
promise."
201,AUNT BERU,201,"Luke's just not a farmer, Owen. He
has too much of his father in him."
202,OWEN,202,That's what I'm afraid of.
203,LUKE,203,What are you doing hiding there?
204,THREEPIO,204,"It wasn't my fault, sir. Please don't
deactivate me. I told him not to go,
but he's faulty, malfunctioning;
kept babbling on about his mission."
205,LUKE,205,"Oh, no!"
206,THREEPIO,206,"That R2 unit has always been a
problem. These astro-droids are
getting quite out of hand. Even I
can't understand their logic at times."
207,LUKE,207,"How could I be so stupid? He's nowhere
in sight. Blast it!"
208,THREEPIO,208,"Pardon me, sir, but couldn't we go
after him?"
209,LUKE,209,"It's too dangerous with all the
Sandpeople around. We'll have to
wait until morning."
210,OWEN,210,"Luke, I'm shutting the power down
for the night."
211,LUKE,211,"All right, I'll be there in a few
minutes. Boy, am I gonna get it."
212,LUKE,212,"You know that little droid is going
to cause me a lot of trouble."
213,THREEPIO,213,"Oh, he excels at that, sir."
214,OWEN,214,"Luke? Luke? Luke? Where could he be
loafing now!"
215,OWEN,215,Have you seen Luke this morning?
216,AUNT BERU,216,"He said he had some things to do
before he started today, so he left
early."
217,OWEN,217,"Uh? Did he take those two new droids
with him?"
218,AUNT BERU,218,I think so.
219,OWEN,219,"Well, he'd better have those units
in the south range repaired be midday
or there'll be hell to pay!"
220,LUKE,220,How's that.
221,LUKE,221,"Old Ben Kenobi lives out in this
direction somewhere, but I don't see
how that R2 unit could have come
this far. We must have missed him.
Uncle Owen isn't going to take this
very well."
222,THREEPIO,222,"Sir, would it help if you told him
it was my fault."
223,LUKE,223,"Sure. He needs you. He'd probably
only deactivate you for a day or
so..."
224,THREEPIO,224,"Deactivate! Well, on the other hand
if you hadn't removed his restraining
bolt..."
225,LUKE,225,"Wait, there's something dead ahead
on the scanner. It looks like our
droid... hit the accelerator."
