,character,line #,line
256,SILVER-HAIRED MAN,256,"But thank you, Kent, for trying to
fuck me in the ass."
257,SILVER-HAIRED MAN,257,"I'm afraid rooting out double agents
may have to wait. The primary threat
is the woman. Her specialty is
counterassassination, a horseshit
turn of phrase which implies the
other fellow shot first, but in point
of fact she's a takeout artist of
the first order. Nearly disposed of
our friend the Beard down in Cuba a
few years back. Specializes in long
rifles, accurate to a mile and a
half. Presumed dead; now, after eight
years, back in the field, agenda
unknown. She knows enough to hurt
us. I'm frightened. Understand?"
258,PRESIDENT,258,"Yes, yes. I believe you. Just one
question:"
259,PRESIDENT,259,"*What in pluperfect hell is she doing
in a Christmas parade*???"
260,HENESSEY,260,"Aw, cut me a break, Fran. I been out
eight months, I'm back doing skip
traces, now you got me stealing
fuckin' bicycles?"
261,EX-WIFE (O.S.),261,"I don't want you around Todd, hear
me? Shrink told me what those men
did to you in prison. This is a
Christian household, my son's not
gonna develop any... tendencies.
Understand?"
262,SAMANTHA,262,"I still can't believe it. You're
saying my hands didn't even shake...?"
263,SAMANTHA,263,What's the matter with you?
264,HENESSEY,264,"You. You're the matter. Look, you
wanna keep going, good luck. I'm
driving back to Ohio. You're free to
come with me."
265,SAMANTHA,265,What... what are you telling me?
266,HENESSEY,266,"Goddammit, lady, I'm taking you
*home*."
267,SAMANTHA,267,"I'll spell it out for you, ready? I
have no future, *I can't go home*.
Until I know what's happening, I'm
in *prison*, you know how that
feels...?"
268,HENESSEY,268,"Yeah, matter of fact. Four years
inside. Marion, Illinois, real
shithole. Get in the car."
269,SAMANTHA,269,I'm sorry.
270,SAMANTHA,270,Um... what did you...?
271,HENESSEY,271,"Seven years ago, Atlanta PD. Me and
my partner, we handled a lot of
impounded shit. Fucker hated me,
boy. One weekend, when he was
conveniently gone...? Some bearer
bonds disappeared from his office.
And lo and behold, when the police
responded to an anonymous tip, you'll
never guess what just happened to be
sitting in my closet."
272,SAMANTHA,272,"The bonds. Your partner put them
there?"
273,HENESSEY,273,"Hell no, I did, I stole the fucking
things."
274,HENESSEY,274,"Now every dollar I hand my kid, he
asks his mother did I steal it."
275,HENESSEY,275,No more killing.
276,SAMANTHA,276,No more killing.
277,SAMANTHA,277,"It was a helluva shot, wasn't it..."""
278,SAMANTHA,278,Quarter til. Any time now.
279,HENESSEY,279,Nice crowd.
280,SAMANTHA,280,"You're just jealous of their
girlfriends."
281,HENESSEY,281,"Who wouldn't be? Corner booth, there's
a beaut. While you're doing her doggie-
style you can pop the zits on her
back."
282,CNN COMMENTATOR (V.O.),282,"Violence in Northern Ireland continues
today, despite a plea by British
prime minister John Major --"
283,SAMANTHA,283,"I just... got a flash of something,
I..."
284,SAMANTHA,284,I hurt my father.
285,HENESSEY,285,Whoa. You remember your father?
286,SAMANTHA,286,No... that's what's strange.
287,SAMANTHA,287,"If I saw him on the street, I... I
wouldn't... oh."
288,HENESSEY,288,"Ms. Caine, last week at a party I
ran into a girl I knew from college
and we chatted for a few minutes.
And it wasn't til I was driving home
on the freeway that I remembered
that I'd screwed her in the back of
a car once."
289,HENESSEY,289,Everyone forgets.
290,SAMANTHA,290,"That's it? That's your helpful story?
Jesus Christ!"
291,HENESSEY,291,"No, see, all's I'm saying is you're
not alone."
292,SAMANTHA,292,"Oh, shut up."
293,HENESSEY,293,Fine. I gotta use the head.
294,TIMOTHY,294,"For you. Another in a long line of
bad investments."
295,SAMANTHA,295,Excuse me?
296,TIMOTHY,296,Just saw the ring on your finger.
297,TIMOTHY,297,Do I know you from somewhere...?
298,TIMOTHY,298,"Whoa. Back up. Total pickup line,
let's forget I said that."
299,SAMANTHA,299,"Thanks for the drink. But no. I don't
know you."
300,TIMOTHY,300,"No, you don't, do you...? I'd know
if you did. I can tell if someone's
lying."
301,TIMOTHY,301,Sorry to bother you.
302,TIMOTHY,302,"Okay, people, I got what I needed.
Wait until she comes out. Then do
them both."
303,TIMOTHY,303,"Walk soft, we got local law."
304,SAMANTHA,304,What are you doing?
305,HENESSEY,305,Pork. On your nine.
306,SAMANTHA,306,So?
307,HENESSEY,307,"So you shot a guy in the head
yesterday. We wait outside."
308,SAMANTHA,308,It's freezing.
309,HENESSEY,309,"Too bad. People shouldn't shoot other
people in the head. Just themselves.
During that show with the little
girl who's a robot."
310,SAMANTHA,310,Bingo. That's an old guy's car.
311,HENESSEY,311,How do you know?
312,SAMANTHA,312,"Because there's an old guy in it.
Come on."
313,SAMANTHA,313,Gun bulge.
314,HENESSEY,314,"You think I'm gonna shove it down my
pants? Shoot my damn dick off."
315,SAMANTHA,315,So now you're a sharpshooter?
316,HENESSEY,316,"Ho, ho."
317,SAMANTHA,317,Mr. Windeman...?
318,SAMANTHA,318,"Oh, SHIT!"
319,HENESSEY,319,*Jesus wept*...!
320,NATHAN,320,"Get in! Both of you, NOW!"
321,TIMOTHY,321,"East, they're going east. *Head them
off*."
322,NATHAN,322,"Charly. Jesus Christ, I don't believe
what I'm seeing, you're so *fat*."
323,SAMANTHA,323,"I'm... um, I mean... what?"
324,NATHAN,324,"What in God's hell have you been
*eating*, you look positively bovine!
Hang on."
325,SAMANTHA,325,"Oh, God, no more--!"
326,NATHAN,326,Bulletproof. Put it in myself.
327,NATHAN,327,"Charlene, darling --"
328,SAMANTHA,328,My name is Caine. Samantha Caine.
