,character,line #,line
196,DR. LECTER,196,"Punishment, you see. For Miggs. Just
like that gospel program. When you
leave, they'll turn the volume way
up. Chilton does enjoy his petty
torments."
197,CLARICE,197,"Who killed Raspail, Doctor...? You
know, don't you?"
198,DR. LECTER,198,"I've been in this room for eight
years, Clarice. I know they will
never, ever let me out while I'm
alive. What I want is a view. I want
a window where I can see a tree, or
even water. I want to be in a federal
institution, away from Chilton - and
I want a view. I'll give good value
for it. Crawford could do that for
me, but he won't. You persuade him."
199,CLARICE,199,Who killed your patient?
200,DR. LECTER,200,"Oh, a very naughty boy. Someone you
and Jack Crawford are most anxious
to meet."
201,CLARICE,201,Buffalo Bill...?
202,CLARICE,202,"Bill killed him, all those years
ago...? That's impossible."
203,DR. LECTER,203,"Who is he stalking right now, Clarice?
I wonder, don't you? How many more
young women will have to die, before
you trade with me...?"
204,CATHERINE,204,"This stuff's givin' me the munchies.
Where's that bag of popcorn?"
205,CODY,205,Shit. Left the groceries in the car.
206,CATHERINE,206,"'S okay, I'll go."
207,CATHERINE,207,Help you with that?
208,MAN,208,Would you? Thanks.
209,MAN (O.S.),209,"Let's slide it up, you mind?"
210,MAN,210,Are you about a size 14?
211,CATHERINE,211,What?
212,MAN,212,Good.
213,MAN,213,Good.
214,MAN,214,Gooood...
215,INSTRUCTOR (O.S.),215,"Electron microscopy reveals fiber
""signatures"" that are nearly as
distinct as fingerprints..."
216,INSTRUCTOR (O.S.),216,"Both of these blouses were worn by
victims of Buffalo Bill. They were
found in two different states, and
four months apart. He always slits
them up the back, like a funeral
suit..."
217,INSTRUCTOR (O.S.),217,"The bunching you see - this
compression - is characteristic of
scissor cuts, rather than a single
blade. And, as you see - Bill always
uses the same pair..."
218,BRIGHAM,218,Clarice Starling! Are you in here?
219,BRIGHAM,219,"Get your field gear, take stuff for
overnight. You're goin' with Crawford."
220,CLARICE,220,Where?
221,BRIGHAM,221,"Some fishermen in West Virginia found
an unidentified girl's body. It's a
Buffalo Bill-type situation. Been in
the water about a week, and Jack
needs somebody that can print a
floater. Think you can handle it?"
222,CLARICE,222,"I'll need the big fingerprint kit...
and the one-to-one Polaroid, the CU-
5, with film packs and batteries."
223,BRIGHAM,223,"Jack's pretty tough on you, isn't
he? Impatient..."
224,CLARICE,224,Sometimes.
225,BRIGHAM,225,"He's got a lot on his mind besides
Buffalo Bill... His wife, Bella, is
real sick. Comatose... I'm tellin'
you about it now, 'cause he may never."
226,BRIGHAM,226,"You're goin' in the field, so you
gotta have full kit. Take this -
it's my own..."
227,BRIGHAM,227,"Wear it, don't ever leave it in your
purse. Dry fire it whenever you get
the chance. And do your exercises."
228,CLARICE,228,I will... I promise.
